track,scenario,iteration,launch_state,total_time_ms,wait_time_ms,success,outcome
startup,cold_process,1,COLD,1250,1263,true,main_activity_wait_time_present
startup,warm_task_resume,1,UNKNOWN (0),,117,true,main_activity_wait_time_present
startup,cold_process,2,COLD,1224,1229,true,main_activity_wait_time_present
startup,warm_task_resume,2,UNKNOWN (0),,64,true,main_activity_wait_time_present
startup,cold_process,3,COLD,956,978,true,main_activity_wait_time_present
startup,warm_task_resume,3,UNKNOWN (0),,219,true,main_activity_wait_time_present
startup,cold_process,4,COLD,914,918,true,main_activity_wait_time_present
startup,warm_task_resume,4,UNKNOWN (0),,85,true,main_activity_wait_time_present
startup,cold_process,5,COLD,1274,1308,true,main_activity_wait_time_present
startup,warm_task_resume,5,UNKNOWN (0),,212,true,main_activity_wait_time_present
startup,cold_process,6,COLD,1193,1200,true,main_activity_wait_time_present
startup,warm_task_resume,6,UNKNOWN (0),,109,true,main_activity_wait_time_present
startup,cold_process,7,COLD,1064,1071,true,main_activity_wait_time_present
startup,warm_task_resume,7,UNKNOWN (0),,113,true,main_activity_wait_time_present
startup,cold_process,8,COLD,1019,1025,true,main_activity_wait_time_present
startup,warm_task_resume,8,UNKNOWN (0),,97,true,main_activity_wait_time_present
startup,cold_process,9,COLD,1337,1351,true,main_activity_wait_time_present
startup,warm_task_resume,9,UNKNOWN (0),,144,true,main_activity_wait_time_present
startup,cold_process,10,COLD,1157,1167,true,main_activity_wait_time_present
startup,warm_task_resume,10,UNKNOWN (0),,153,true,main_activity_wait_time_present
startup,cold_process,11,COLD,1240,1312,true,main_activity_wait_time_present
startup,warm_task_resume,11,UNKNOWN (0),,82,true,main_activity_wait_time_present
startup,cold_process,12,COLD,1252,1266,true,main_activity_wait_time_present
startup,warm_task_resume,12,UNKNOWN (0),,79,true,main_activity_wait_time_present
startup,cold_process,13,COLD,1297,1347,true,main_activity_wait_time_present
startup,warm_task_resume,13,UNKNOWN (0),,83,true,main_activity_wait_time_present
startup,cold_process,14,COLD,1596,1599,true,main_activity_wait_time_present
startup,warm_task_resume,14,UNKNOWN (0),,120,true,main_activity_wait_time_present
startup,cold_process,15,COLD,1390,1435,true,main_activity_wait_time_present
startup,warm_task_resume,15,UNKNOWN (0),,48,true,main_activity_wait_time_present
startup,cold_process,16,COLD,1286,1292,true,main_activity_wait_time_present
startup,warm_task_resume,16,UNKNOWN (0),,141,true,main_activity_wait_time_present
startup,cold_process,17,COLD,1131,1204,true,main_activity_wait_time_present
startup,warm_task_resume,17,UNKNOWN (0),,172,true,main_activity_wait_time_present
startup,cold_process,18,COLD,1249,1256,true,main_activity_wait_time_present
startup,warm_task_resume,18,UNKNOWN (0),,86,true,main_activity_wait_time_present
startup,cold_process,19,COLD,1200,1206,true,main_activity_wait_time_present
startup,warm_task_resume,19,UNKNOWN (0),,172,true,main_activity_wait_time_present
startup,cold_process,20,COLD,1049,1053,true,main_activity_wait_time_present
startup,warm_task_resume,20,UNKNOWN (0),,132,true,main_activity_wait_time_present
