track,scenario,iteration,duration_ms,success,outcome,origin,expected_polls,observed_polls
state,live_seed,1,0.430,true,five_paper_live_content,LIVE_BACKEND,,
state,live_seed,2,0.384,true,five_paper_live_content,LIVE_BACKEND,,
state,live_seed,3,0.369,true,five_paper_live_content,LIVE_BACKEND,,
state,live_seed,4,0.460,true,five_paper_live_content,LIVE_BACKEND,,
state,live_seed,5,0.601,true,five_paper_live_content,LIVE_BACKEND,,
state,live_seed,6,0.462,true,five_paper_live_content,LIVE_BACKEND,,
state,live_seed,7,0.562,true,five_paper_live_content,LIVE_BACKEND,,
state,live_seed,8,0.556,true,five_paper_live_content,LIVE_BACKEND,,
state,live_seed,9,0.268,true,five_paper_live_content,LIVE_BACKEND,,
state,live_seed,10,3.930,true,five_paper_live_content,LIVE_BACKEND,,
state,live_seed,11,0.656,true,five_paper_live_content,LIVE_BACKEND,,
state,live_seed,12,0.376,true,five_paper_live_content,LIVE_BACKEND,,
state,live_seed,13,0.460,true,five_paper_live_content,LIVE_BACKEND,,
state,live_seed,14,0.324,true,five_paper_live_content,LIVE_BACKEND,,
state,live_seed,15,0.648,true,five_paper_live_content,LIVE_BACKEND,,
state,live_seed,16,0.354,true,five_paper_live_content,LIVE_BACKEND,,
state,live_seed,17,0.312,true,five_paper_live_content,LIVE_BACKEND,,
state,live_seed,18,0.375,true,five_paper_live_content,LIVE_BACKEND,,
state,live_seed,19,0.115,true,five_paper_live_content,LIVE_BACKEND,,
state,live_seed,20,0.113,true,five_paper_live_content,LIVE_BACKEND,,
state,live_seed,21,0.276,true,five_paper_live_content,LIVE_BACKEND,,
state,live_seed,22,0.108,true,five_paper_live_content,LIVE_BACKEND,,
state,live_seed,23,0.170,true,five_paper_live_content,LIVE_BACKEND,,
state,live_seed,24,0.131,true,five_paper_live_content,LIVE_BACKEND,,
state,live_seed,25,0.318,true,five_paper_live_content,LIVE_BACKEND,,
state,live_seed,26,0.126,true,five_paper_live_content,LIVE_BACKEND,,
state,live_seed,27,0.127,true,five_paper_live_content,LIVE_BACKEND,,
state,live_seed,28,0.112,true,five_paper_live_content,LIVE_BACKEND,,
state,live_seed,29,0.119,true,five_paper_live_content,LIVE_BACKEND,,
state,live_seed,30,0.111,true,five_paper_live_content,LIVE_BACKEND,,
state,cached_warm_start,1,1.400,true,cached_content_visible,CACHED_BACKEND,,
state,cached_warm_start,2,0.185,true,cached_content_visible,CACHED_BACKEND,,
state,cached_warm_start,3,0.161,true,cached_content_visible,CACHED_BACKEND,,
state,cached_warm_start,4,0.149,true,cached_content_visible,CACHED_BACKEND,,
state,cached_warm_start,5,0.153,true,cached_content_visible,CACHED_BACKEND,,
state,cached_warm_start,6,0.150,true,cached_content_visible,CACHED_BACKEND,,
state,cached_warm_start,7,0.146,true,cached_content_visible,CACHED_BACKEND,,
state,cached_warm_start,8,0.148,true,cached_content_visible,CACHED_BACKEND,,
state,cached_warm_start,9,0.245,true,cached_content_visible,CACHED_BACKEND,,
state,cached_warm_start,10,0.145,true,cached_content_visible,CACHED_BACKEND,,
state,cached_warm_start,11,0.152,true,cached_content_visible,CACHED_BACKEND,,
state,cached_warm_start,12,0.152,true,cached_content_visible,CACHED_BACKEND,,
state,cached_warm_start,13,0.146,true,cached_content_visible,CACHED_BACKEND,,
state,cached_warm_start,14,0.148,true,cached_content_visible,CACHED_BACKEND,,
state,cached_warm_start,15,0.152,true,cached_content_visible,CACHED_BACKEND,,
state,cached_warm_start,16,0.150,true,cached_content_visible,CACHED_BACKEND,,
state,cached_warm_start,17,0.141,true,cached_content_visible,CACHED_BACKEND,,
state,cached_warm_start,18,0.154,true,cached_content_visible,CACHED_BACKEND,,
state,cached_warm_start,19,0.146,true,cached_content_visible,CACHED_BACKEND,,
state,cached_warm_start,20,0.146,true,cached_content_visible,CACHED_BACKEND,,
state,cached_warm_start,21,0.149,true,cached_content_visible,CACHED_BACKEND,,
state,cached_warm_start,22,0.155,true,cached_content_visible,CACHED_BACKEND,,
state,cached_warm_start,23,0.144,true,cached_content_visible,CACHED_BACKEND,,
state,cached_warm_start,24,0.144,true,cached_content_visible,CACHED_BACKEND,,
state,cached_warm_start,25,0.159,true,cached_content_visible,CACHED_BACKEND,,
state,cached_warm_start,26,0.161,true,cached_content_visible,CACHED_BACKEND,,
state,cached_warm_start,27,0.157,true,cached_content_visible,CACHED_BACKEND,,
