track,scenario,node_count,edge_count,algorithm_status,phase,iteration,duration_ms,success,outcome
graph,render_ready,1,0,READY,cold_webview,1,154.904,true,dom_ready
graph,select_node,1,0,READY,cold_webview,1,27.583,true,callback_received
graph,render_ready,1,0,READY,cold_webview,2,116.482,true,dom_ready
graph,select_node,1,0,READY,cold_webview,2,38.677,true,callback_received
graph,render_ready,1,0,READY,cold_webview,3,110.721,true,dom_ready
graph,select_node,1,0,READY,cold_webview,3,32.655,true,callback_received
graph,render_ready,1,0,READY,cold_webview,4,116.171,true,dom_ready
graph,select_node,1,0,READY,cold_webview,4,35.767,true,callback_received
graph,render_ready,1,0,READY,cold_webview,5,130.678,true,dom_ready
graph,select_node,1,0,READY,cold_webview,5,32.467,true,callback_received
graph,render_ready,1,0,READY,cold_webview,6,116.634,true,dom_ready
graph,select_node,1,0,READY,cold_webview,6,32.444,true,callback_received
graph,render_ready,1,0,READY,cold_webview,7,115.872,true,dom_ready
graph,select_node,1,0,READY,cold_webview,7,35.426,true,callback_received
graph,render_ready,1,0,READY,cold_webview,8,97.167,true,dom_ready
graph,select_node,1,0,READY,cold_webview,8,33.043,true,callback_received
graph,render_ready,1,0,READY,cold_webview,9,166.262,true,dom_ready
graph,select_node,1,0,READY,cold_webview,9,42.889,true,callback_received
graph,render_ready,1,0,READY,cold_webview,10,106.175,true,dom_ready
graph,select_node,1,0,READY,cold_webview,10,32.518,true,callback_received
graph,render_ready,1,0,READY,cold_webview,11,133.737,true,dom_ready
graph,select_node,1,0,READY,cold_webview,11,37.109,true,callback_received
graph,render_ready,1,0,READY,cold_webview,12,111.233,true,dom_ready
graph,select_node,1,0,READY,cold_webview,12,37.369,true,callback_received
graph,render_ready,1,0,READY,cold_webview,13,111.761,true,dom_ready
graph,select_node,1,0,READY,cold_webview,13,32.798,true,callback_received
graph,render_ready,1,0,READY,cold_webview,14,116.844,true,dom_ready
graph,select_node,1,0,READY,cold_webview,14,34.938,true,callback_received
graph,render_ready,1,0,READY,cold_webview,15,113.619,true,dom_ready
graph,select_node,1,0,READY,cold_webview,15,32.742,true,callback_received
graph,render_ready,1,0,READY,cold_webview,16,155.067,true,dom_ready
graph,select_node,1,0,READY,cold_webview,16,27.215,true,callback_received
graph,render_ready,1,0,READY,cold_webview,17,116.347,true,dom_ready
graph,select_node,1,0,READY,cold_webview,17,33.325,true,callback_received
graph,render_ready,1,0,READY,cold_webview,18,121.167,true,dom_ready
graph,select_node,1,0,READY,cold_webview,18,32.281,true,callback_received
graph,render_ready,1,0,READY,cold_webview,19,128.094,true,dom_ready
graph,select_node,1,0,READY,cold_webview,19,33.544,true,callback_received
graph,render_ready,1,0,READY,cold_webview,20,151.028,true,dom_ready
graph,select_node,1,0,READY,cold_webview,20,30.595,true,callback_received
graph,render_ready,1,0,READY,warm_update,1,99.997,true,dom_ready
graph,select_node,1,0,READY,warm_update,1,32.553,true,callback_received
graph,render_ready,1,0,READY,warm_update,2,82.972,true,dom_ready
graph,select_node,1,0,READY,warm_update,2,32.910,true,callback_received
graph,render_ready,1,0,READY,warm_update,3,99.641,true,dom_ready
graph,select_node,1,0,READY,warm_update,3,32.843,true,callback_received
graph,render_ready,1,0,READY,warm_update,4,83.163,true,dom_ready
graph,select_node,1,0,READY,warm_update,4,32.945,true,callback_received
graph,render_ready,1,0,READY,warm_update,5,83.201,true,dom_ready
graph,select_node,1,0,READY,warm_update,5,32.553,true,callback_received
graph,render_ready,1,0,READY,warm_update,6,83.071,true,dom_ready
graph,select_node,1,0,READY,warm_update,6,32.798,true,callback_received
graph,render_ready,1,0,READY,warm_update,7,99.746,true,dom_ready
graph,select_node,1,0,READY,warm_update,7,32.976,true,callback_received
graph,render_ready,1,0,READY,warm_update,8,83.099,true,dom_ready
graph,select_node,1,0,READY,warm_update,8,32.585,true,callback_received
graph,render_ready,1,0,READY,warm_update,9,100.876,true,dom_ready
graph,select_node,1,0,READY,warm_update,9,35.390,true,callback_received
graph,render_ready,1,0,READY,warm_update,10,81.166,true,dom_ready
graph,select_node,1,0,READY,warm_update,10,33.559,true,callback_received
graph,render_ready,1,0,READY,warm_update,11,87.744,true,dom_ready
graph,select_node,1,0,READY,warm_update,11,33.150,true,callback_received
graph,render_ready,1,0,READY,warm_update,12,75.108,true,dom_ready
graph,select_node,1,0,READY,warm_update,12,32.891,true,callback_received
graph,render_ready,1,0,READY,warm_update,13,83.054,true,dom_ready
