track,scenario,state,iteration,duration_ms,success,outcome
graph,status_disclosure,ready,1,92.224,true,visible
graph,status_disclosure,ready,2,75.094,true,visible
graph,status_disclosure,ready,3,98.444,true,visible
graph,status_disclosure,ready,4,84.084,true,visible
graph,status_disclosure,ready,5,81.030,true,visible
graph,status_disclosure,ready,6,91.205,true,visible
graph,status_disclosure,ready,7,83.201,true,visible
graph,status_disclosure,ready,8,93.848,true,visible
graph,status_disclosure,ready,9,81.319,true,visible
graph,status_disclosure,ready,10,85.528,true,visible
graph,status_disclosure,ready,11,85.991,true,visible
graph,status_disclosure,ready,12,87.328,true,visible
graph,status_disclosure,ready,13,73.532,true,visible
graph,status_disclosure,ready,14,100.655,true,visible
graph,status_disclosure,ready,15,81.396,true,visible
graph,status_disclosure,ready,16,83.377,true,visible
graph,status_disclosure,ready,17,84.043,true,visible
graph,status_disclosure,ready,18,82.940,true,visible
graph,status_disclosure,ready,19,84.059,true,visible
graph,status_disclosure,ready,20,79.024,true,visible
graph,status_disclosure,ready,21,82.865,true,visible
graph,status_disclosure,ready,22,89.377,true,visible
graph,status_disclosure,ready,23,79.302,true,visible
graph,status_disclosure,ready,24,81.944,true,visible
graph,status_disclosure,ready,25,102.782,true,visible
graph,status_disclosure,ready,26,76.101,true,visible
graph,status_disclosure,ready,27,85.230,true,visible
graph,status_disclosure,ready,28,82.290,true,visible
graph,status_disclosure,ready,29,81.913,true,visible
graph,status_disclosure,ready,30,83.762,true,visible
graph,status_disclosure,fallback,1,80.262,true,visible
graph,status_disclosure,fallback,2,87.667,true,visible
graph,status_disclosure,fallback,3,86.786,true,visible
graph,status_disclosure,fallback,4,79.029,true,visible
graph,status_disclosure,fallback,5,84.095,true,visible
graph,status_disclosure,fallback,6,79.082,true,visible
graph,status_disclosure,fallback,7,80.938,true,visible
graph,status_disclosure,fallback,8,87.574,true,visible
graph,status_disclosure,fallback,9,78.403,true,visible
graph,status_disclosure,fallback,10,87.407,true,visible
graph,status_disclosure,fallback,11,82.724,true,visible
graph,status_disclosure,fallback,12,79.376,true,visible
graph,status_disclosure,fallback,13,89.515,true,visible
graph,status_disclosure,fallback,14,80.092,true,visible
graph,status_disclosure,fallback,15,81.111,true,visible
graph,status_disclosure,fallback,16,82.668,true,visible
graph,status_disclosure,fallback,17,64.907,true,visible
graph,status_disclosure,fallback,18,93.172,true,visible
graph,status_disclosure,fallback,19,71.841,true,visible
graph,status_disclosure,fallback,20,71.459,true,visible
graph,status_disclosure,fallback,21,76.146,true,visible
graph,status_disclosure,fallback,22,82.680,true,visible
graph,status_disclosure,fallback,23,89.452,true,visible
graph,status_disclosure,fallback,24,78.754,true,visible
graph,status_disclosure,fallback,25,80.579,true,visible
graph,status_disclosure,fallback,26,84.949,true,visible
graph,status_disclosure,fallback,27,85.540,true,visible
graph,status_disclosure,fallback,28,86.012,true,visible
graph,status_disclosure,fallback,29,82.246,true,visible
graph,status_disclosure,fallback,30,82.152,true,visible
graph,status_disclosure,empty,1,66.696,true,visible
graph,status_disclosure,empty,2,66.173,true,visible
graph,status_disclosure,empty,3,66.281,true,visible
graph,status_disclosure,empty,4,66.289,true,visible
graph,status_disclosure,empty,5,70.550,true,visible
graph,status_disclosure,empty,6,62.161,true,visible
graph,status_disclosure,empty,7,66.439,true,visible
graph,status_disclosure,empty,8,66.216,true,visible
graph,status_disclosure,empty,9,66.358,true,visible
graph,status_disclosure,empty,10,66.300,true,visible
graph,status_disclosure,empty,11,66.331,true,visible
graph,status_disclosure,empty,12,66.351,true,visible
graph,status_disclosure,empty,13,66.505,true,visible
graph,status_disclosure,empty,14,66.126,true,visible
graph,status_disclosure,empty,15,66.461,true,visible
graph,status_disclosure,empty,16,66.162,true,visible
graph,status_disclosure,empty,17,66.330,true,visible
graph,status_disclosure,empty,18,66.242,true,visible
graph,status_disclosure,empty,19,66.535,true,visible
graph,status_disclosure,empty,20,66.199,true,visible
graph,status_disclosure,empty,21,66.405,true,visible
graph,status_disclosure,empty,22,66.374,true,visible
graph,status_disclosure,empty,23,66.124,true,visible
graph,status_disclosure,empty,24,66.199,true,visible
graph,status_disclosure,empty,25,66.415,true,visible
graph,status_disclosure,empty,26,66.294,true,visible
graph,status_disclosure,empty,27,66.452,true,visible
graph,status_disclosure,empty,28,66.074,true,visible
graph,status_disclosure,empty,29,66.369,true,visible
graph,status_disclosure,empty,30,66.375,true,visible
