track,scenario,iteration,duration_ms,success,outcome,origin,expected_polls,observed_polls
state,live_seed,1,0.180,true,five_paper_live_content,LIVE_BACKEND,,
state,live_seed,2,0.181,true,five_paper_live_content,LIVE_BACKEND,,
state,live_seed,3,0.191,true,five_paper_live_content,LIVE_BACKEND,,
state,live_seed,4,0.183,true,five_paper_live_content,LIVE_BACKEND,,
state,live_seed,5,0.179,true,five_paper_live_content,LIVE_BACKEND,,
state,live_seed,6,0.187,true,five_paper_live_content,LIVE_BACKEND,,
state,live_seed,7,0.139,true,five_paper_live_content,LIVE_BACKEND,,
state,live_seed,8,0.125,true,five_paper_live_content,LIVE_BACKEND,,
state,live_seed,9,0.131,true,five_paper_live_content,LIVE_BACKEND,,
state,live_seed,10,0.145,true,five_paper_live_content,LIVE_BACKEND,,
state,live_seed,11,0.128,true,five_paper_live_content,LIVE_BACKEND,,
state,live_seed,12,0.127,true,five_paper_live_content,LIVE_BACKEND,,
state,live_seed,13,0.130,true,five_paper_live_content,LIVE_BACKEND,,
state,live_seed,14,0.128,true,five_paper_live_content,LIVE_BACKEND,,
state,live_seed,15,0.213,true,five_paper_live_content,LIVE_BACKEND,,
state,live_seed,16,0.117,true,five_paper_live_content,LIVE_BACKEND,,
state,live_seed,17,0.118,true,five_paper_live_content,LIVE_BACKEND,,
state,live_seed,18,0.126,true,five_paper_live_content,LIVE_BACKEND,,
state,live_seed,19,0.118,true,five_paper_live_content,LIVE_BACKEND,,
state,live_seed,20,0.119,true,five_paper_live_content,LIVE_BACKEND,,
state,live_seed,21,0.111,true,five_paper_live_content,LIVE_BACKEND,,
state,live_seed,22,0.118,true,five_paper_live_content,LIVE_BACKEND,,
state,live_seed,23,0.121,true,five_paper_live_content,LIVE_BACKEND,,
state,live_seed,24,0.117,true,five_paper_live_content,LIVE_BACKEND,,
state,live_seed,25,0.121,true,five_paper_live_content,LIVE_BACKEND,,
state,live_seed,26,0.122,true,five_paper_live_content,LIVE_BACKEND,,
state,live_seed,27,0.114,true,five_paper_live_content,LIVE_BACKEND,,
state,live_seed,28,0.116,true,five_paper_live_content,LIVE_BACKEND,,
state,live_seed,29,0.122,true,five_paper_live_content,LIVE_BACKEND,,
state,live_seed,30,0.118,true,five_paper_live_content,LIVE_BACKEND,,
state,cached_warm_start,1,0.156,true,cached_content_visible,CACHED_BACKEND,,
state,cached_warm_start,2,0.169,true,cached_content_visible,CACHED_BACKEND,,
state,cached_warm_start,3,0.166,true,cached_content_visible,CACHED_BACKEND,,
state,cached_warm_start,4,0.161,true,cached_content_visible,CACHED_BACKEND,,
state,cached_warm_start,5,0.171,true,cached_content_visible,CACHED_BACKEND,,
state,cached_warm_start,6,0.166,true,cached_content_visible,CACHED_BACKEND,,
state,cached_warm_start,7,0.162,true,cached_content_visible,CACHED_BACKEND,,
state,cached_warm_start,8,0.157,true,cached_content_visible,CACHED_BACKEND,,
state,cached_warm_start,9,0.175,true,cached_content_visible,CACHED_BACKEND,,
state,cached_warm_start,10,0.158,true,cached_content_visible,CACHED_BACKEND,,
state,cached_warm_start,11,0.157,true,cached_content_visible,CACHED_BACKEND,,
state,cached_warm_start,12,0.165,true,cached_content_visible,CACHED_BACKEND,,
state,cached_warm_start,13,0.156,true,cached_content_visible,CACHED_BACKEND,,
state,cached_warm_start,14,0.169,true,cached_content_visible,CACHED_BACKEND,,
state,cached_warm_start,15,0.170,true,cached_content_visible,CACHED_BACKEND,,
state,cached_warm_start,16,0.167,true,cached_content_visible,CACHED_BACKEND,,
state,cached_warm_start,17,0.168,true,cached_content_visible,CACHED_BACKEND,,
state,cached_warm_start,18,0.158,true,cached_content_visible,CACHED_BACKEND,,
state,cached_warm_start,19,0.154,true,cached_content_visible,CACHED_BACKEND,,
state,cached_warm_start,20,0.163,true,cached_content_visible,CACHED_BACKEND,,
state,cached_warm_start,21,0.160,true,cached_content_visible,CACHED_BACKEND,,
state,cached_warm_start,22,0.153,true,cached_content_visible,CACHED_BACKEND,,
state,cached_warm_start,23,0.150,true,cached_content_visible,CACHED_BACKEND,,
state,cached_warm_start,24,0.153,true,cached_content_visible,CACHED_BACKEND,,
state,cached_warm_start,25,0.158,true,cached_content_visible,CACHED_BACKEND,,
state,cached_warm_start,26,0.163,true,cached_content_visible,CACHED_BACKEND,,
state,cached_warm_start,27,0.156,true,cached_content_visible,CACHED_BACKEND,,
state,cached_warm_start,28,0.162,true,cached_content_visible,CACHED_BACKEND,,
state,cached_warm_start,29,0.224,true,cached_content_visible,CACHED_BACKEND,,
state,cached_warm_start,30,0.221,true,cached_content_visible,CACHED_BACKEND,,
state,cached_offline_disclosure,1,0.223,true,offline_cache_retained,CACHED_BACKEND,,
state,cached_offline_disclosure,2,0.208,true,offline_cache_retained,CACHED_BACKEND,,
