track,scenario,state,iteration,duration_ms,success,outcome
graph,status_disclosure,ready,1,84.768,true,visible
graph,status_disclosure,ready,2,81.516,true,visible
graph,status_disclosure,ready,3,104.136,true,visible
graph,status_disclosure,ready,4,78.050,true,visible
graph,status_disclosure,ready,5,86.907,true,visible
graph,status_disclosure,ready,6,80.670,true,visible
graph,status_disclosure,ready,7,100.760,true,visible
graph,status_disclosure,ready,8,84.941,true,visible
graph,status_disclosure,ready,9,80.537,true,visible
graph,status_disclosure,ready,10,78.614,true,visible
graph,status_disclosure,ready,11,83.532,true,visible
graph,status_disclosure,ready,12,82.863,true,visible
graph,status_disclosure,ready,13,83.631,true,visible
graph,status_disclosure,ready,14,82.036,true,visible
graph,status_disclosure,ready,15,83.042,true,visible
graph,status_disclosure,ready,16,82.117,true,visible
graph,status_disclosure,ready,17,84.899,true,visible
graph,status_disclosure,ready,18,80.363,true,visible
graph,status_disclosure,ready,19,90.341,true,visible
graph,status_disclosure,ready,20,77.754,true,visible
graph,status_disclosure,ready,21,81.311,true,visible
graph,status_disclosure,ready,22,84.384,true,visible
graph,status_disclosure,ready,23,84.181,true,visible
graph,status_disclosure,ready,24,84.632,true,visible
graph,status_disclosure,ready,25,78.558,true,visible
graph,status_disclosure,ready,26,83.736,true,visible
graph,status_disclosure,ready,27,81.580,true,visible
graph,status_disclosure,ready,28,81.115,true,visible
graph,status_disclosure,ready,29,85.691,true,visible
graph,status_disclosure,ready,30,81.991,true,visible
graph,status_disclosure,fallback,1,81.049,true,visible
graph,status_disclosure,fallback,2,84.986,true,visible
graph,status_disclosure,fallback,3,78.427,true,visible
graph,status_disclosure,fallback,4,88.432,true,visible
graph,status_disclosure,fallback,5,82.079,true,visible
graph,status_disclosure,fallback,6,78.562,true,visible
graph,status_disclosure,fallback,7,86.564,true,visible
graph,status_disclosure,fallback,8,80.122,true,visible
graph,status_disclosure,fallback,9,81.459,true,visible
graph,status_disclosure,fallback,10,84.653,true,visible
graph,status_disclosure,fallback,11,80.390,true,visible
graph,status_disclosure,fallback,12,84.112,true,visible
graph,status_disclosure,fallback,13,82.855,true,visible
graph,status_disclosure,fallback,14,81.455,true,visible
graph,status_disclosure,fallback,15,88.448,true,visible
graph,status_disclosure,fallback,16,81.470,true,visible
graph,status_disclosure,fallback,17,82.802,true,visible
graph,status_disclosure,fallback,18,83.361,true,visible
graph,status_disclosure,fallback,19,80.390,true,visible
graph,status_disclosure,fallback,20,84.964,true,visible
graph,status_disclosure,fallback,21,82.313,true,visible
graph,status_disclosure,fallback,22,83.983,true,visible
graph,status_disclosure,fallback,23,80.467,true,visible
graph,status_disclosure,fallback,24,80.428,true,visible
graph,status_disclosure,fallback,25,86.483,true,visible
graph,status_disclosure,fallback,26,83.698,true,visible
graph,status_disclosure,fallback,27,79.908,true,visible
graph,status_disclosure,fallback,28,84.771,true,visible
graph,status_disclosure,fallback,29,81.114,true,visible
graph,status_disclosure,fallback,30,82.059,true,visible
graph,status_disclosure,empty,1,66.665,true,visible
graph,status_disclosure,empty,2,66.128,true,visible
graph,status_disclosure,empty,3,66.152,true,visible
graph,status_disclosure,empty,4,66.145,true,visible
graph,status_disclosure,empty,5,66.135,true,visible
graph,status_disclosure,empty,6,66.301,true,visible
graph,status_disclosure,empty,7,66.195,true,visible
graph,status_disclosure,empty,8,66.417,true,visible
graph,status_disclosure,empty,9,66.424,true,visible
graph,status_disclosure,empty,10,66.186,true,visible
graph,status_disclosure,empty,11,66.474,true,visible
graph,status_disclosure,empty,12,66.140,true,visible
graph,status_disclosure,empty,13,66.212,true,visible
graph,status_disclosure,empty,14,66.282,true,visible
graph,status_disclosure,empty,15,66.078,true,visible
graph,status_disclosure,empty,16,66.215,true,visible
graph,status_disclosure,empty,17,66.074,true,visible
graph,status_disclosure,empty,18,66.524,true,visible
graph,status_disclosure,empty,19,66.241,true,visible
graph,status_disclosure,empty,20,66.017,true,visible
graph,status_disclosure,empty,21,66.401,true,visible
graph,status_disclosure,empty,22,66.029,true,visible
graph,status_disclosure,empty,23,66.132,true,visible
graph,status_disclosure,empty,24,65.691,true,visible
graph,status_disclosure,empty,25,66.411,true,visible
graph,status_disclosure,empty,26,66.206,true,visible
graph,status_disclosure,empty,27,66.090,true,visible
graph,status_disclosure,empty,28,66.690,true,visible
graph,status_disclosure,empty,29,65.907,true,visible
graph,status_disclosure,empty,30,66.517,true,visible
