track,scenario,iteration,event_count,duration_ms,success,outcome,accepted,duplicates,final_state
event_sync,queue_write,1,3,13.802,true,pending,,,pending
event_sync,retryable_http_failure,1,3,16.806,true,Retry,,,pending
event_sync,retry_success,1,3,56.060,true,Synced,3,0,synced
event_sync,duplicate_replay,1,3,12.754,true,Synced,0,3,synced
event_sync,queue_write,2,3,9.036,true,pending,,,pending
event_sync,retryable_http_failure,2,3,11.501,true,Retry,,,pending
event_sync,retry_success,2,3,50.883,true,Synced,3,0,synced
event_sync,duplicate_replay,2,3,12.988,true,Synced,0,3,synced
event_sync,queue_write,3,3,10.035,true,pending,,,pending
event_sync,retryable_http_failure,3,3,11.020,true,Retry,,,pending
event_sync,retry_success,3,3,51.059,true,Synced,3,0,synced
event_sync,duplicate_replay,3,3,12.418,true,Synced,0,3,synced
event_sync,queue_write,4,3,8.604,true,pending,,,pending
event_sync,retryable_http_failure,4,3,11.334,true,Retry,,,pending
event_sync,retry_success,4,3,52.575,true,Synced,3,0,synced
event_sync,duplicate_replay,4,3,13.844,true,Synced,0,3,synced
event_sync,queue_write,5,3,10.169,true,pending,,,pending
event_sync,retryable_http_failure,5,3,11.567,true,Retry,,,pending
event_sync,retry_success,5,3,52.871,true,Synced,3,0,synced
event_sync,duplicate_replay,5,3,14.609,true,Synced,0,3,synced
event_sync,queue_write,6,3,9.823,true,pending,,,pending
event_sync,retryable_http_failure,6,3,12.070,true,Retry,,,pending
event_sync,retry_success,6,3,51.591,true,Synced,3,0,synced
event_sync,duplicate_replay,6,3,11.954,true,Synced,0,3,synced
event_sync,queue_write,7,3,9.304,true,pending,,,pending
event_sync,retryable_http_failure,7,3,27.665,true,Retry,,,pending
event_sync,retry_success,7,3,54.290,true,Synced,3,0,synced
event_sync,duplicate_replay,7,3,13.113,true,Synced,0,3,synced
event_sync,queue_write,8,3,9.420,true,pending,,,pending
event_sync,retryable_http_failure,8,3,11.352,true,Retry,,,pending
event_sync,retry_success,8,3,62.143,true,Synced,3,0,synced
event_sync,duplicate_replay,8,3,13.230,true,Synced,0,3,synced
event_sync,queue_write,9,3,11.572,true,pending,,,pending
event_sync,retryable_http_failure,9,3,11.501,true,Retry,,,pending
event_sync,retry_success,9,3,55.095,true,Synced,3,0,synced
event_sync,duplicate_replay,9,3,13.150,true,Synced,0,3,synced
event_sync,queue_write,10,3,9.584,true,pending,,,pending
