track,scenario,iteration,duration_ms,success,outcome,origin,expected_polls,observed_polls
state,live_seed,1,0.143,true,five_paper_live_content,LIVE_BACKEND,,
state,live_seed,2,0.158,true,five_paper_live_content,LIVE_BACKEND,,
state,live_seed,3,0.152,true,five_paper_live_content,LIVE_BACKEND,,
state,live_seed,4,0.142,true,five_paper_live_content,LIVE_BACKEND,,
state,live_seed,5,0.143,true,five_paper_live_content,LIVE_BACKEND,,
state,live_seed,6,0.146,true,five_paper_live_content,LIVE_BACKEND,,
state,live_seed,7,0.147,true,five_paper_live_content,LIVE_BACKEND,,
state,live_seed,8,0.152,true,five_paper_live_content,LIVE_BACKEND,,
state,live_seed,9,0.168,true,five_paper_live_content,LIVE_BACKEND,,
state,live_seed,10,0.211,true,five_paper_live_content,LIVE_BACKEND,,
state,live_seed,11,0.345,true,five_paper_live_content,LIVE_BACKEND,,
state,live_seed,12,0.174,true,five_paper_live_content,LIVE_BACKEND,,
state,live_seed,13,0.154,true,five_paper_live_content,LIVE_BACKEND,,
state,live_seed,14,0.172,true,five_paper_live_content,LIVE_BACKEND,,
state,live_seed,15,0.174,true,five_paper_live_content,LIVE_BACKEND,,
state,live_seed,16,0.155,true,five_paper_live_content,LIVE_BACKEND,,
state,live_seed,17,0.175,true,five_paper_live_content,LIVE_BACKEND,,
state,live_seed,18,0.158,true,five_paper_live_content,LIVE_BACKEND,,
state,live_seed,19,0.154,true,five_paper_live_content,LIVE_BACKEND,,
state,live_seed,20,0.163,true,five_paper_live_content,LIVE_BACKEND,,
state,live_seed,21,0.185,true,five_paper_live_content,LIVE_BACKEND,,
state,live_seed,22,0.162,true,five_paper_live_content,LIVE_BACKEND,,
state,live_seed,23,0.155,true,five_paper_live_content,LIVE_BACKEND,,
state,live_seed,24,0.170,true,five_paper_live_content,LIVE_BACKEND,,
state,live_seed,25,0.165,true,five_paper_live_content,LIVE_BACKEND,,
state,live_seed,26,0.153,true,five_paper_live_content,LIVE_BACKEND,,
state,live_seed,27,0.155,true,five_paper_live_content,LIVE_BACKEND,,
state,live_seed,28,0.153,true,five_paper_live_content,LIVE_BACKEND,,
state,live_seed,29,0.152,true,five_paper_live_content,LIVE_BACKEND,,
state,live_seed,30,0.166,true,five_paper_live_content,LIVE_BACKEND,,
state,cached_warm_start,1,0.186,true,cached_content_visible,CACHED_BACKEND,,
state,cached_warm_start,2,0.197,true,cached_content_visible,CACHED_BACKEND,,
state,cached_warm_start,3,0.197,true,cached_content_visible,CACHED_BACKEND,,
state,cached_warm_start,4,0.187,true,cached_content_visible,CACHED_BACKEND,,
state,cached_warm_start,5,0.426,true,cached_content_visible,CACHED_BACKEND,,
state,cached_warm_start,6,0.291,true,cached_content_visible,CACHED_BACKEND,,
state,cached_warm_start,7,0.268,true,cached_content_visible,CACHED_BACKEND,,
state,cached_warm_start,8,0.280,true,cached_content_visible,CACHED_BACKEND,,
state,cached_warm_start,9,2.561,true,cached_content_visible,CACHED_BACKEND,,
state,cached_warm_start,10,0.290,true,cached_content_visible,CACHED_BACKEND,,
state,cached_warm_start,11,0.372,true,cached_content_visible,CACHED_BACKEND,,
state,cached_warm_start,12,0.242,true,cached_content_visible,CACHED_BACKEND,,
state,cached_warm_start,13,0.375,true,cached_content_visible,CACHED_BACKEND,,
state,cached_warm_start,14,0.264,true,cached_content_visible,CACHED_BACKEND,,
state,cached_warm_start,15,0.245,true,cached_content_visible,CACHED_BACKEND,,
state,cached_warm_start,16,0.210,true,cached_content_visible,CACHED_BACKEND,,
state,cached_warm_start,17,0.229,true,cached_content_visible,CACHED_BACKEND,,
state,cached_warm_start,18,0.204,true,cached_content_visible,CACHED_BACKEND,,
state,cached_warm_start,19,0.216,true,cached_content_visible,CACHED_BACKEND,,
state,cached_warm_start,20,0.200,true,cached_content_visible,CACHED_BACKEND,,
state,cached_warm_start,21,0.208,true,cached_content_visible,CACHED_BACKEND,,
state,cached_warm_start,22,0.271,true,cached_content_visible,CACHED_BACKEND,,
state,cached_warm_start,23,0.220,true,cached_content_visible,CACHED_BACKEND,,
state,cached_warm_start,24,0.204,true,cached_content_visible,CACHED_BACKEND,,
state,cached_warm_start,25,0.231,true,cached_content_visible,CACHED_BACKEND,,
state,cached_warm_start,26,0.211,true,cached_content_visible,CACHED_BACKEND,,
state,cached_warm_start,27,0.199,true,cached_content_visible,CACHED_BACKEND,,
state,cached_warm_start,28,0.215,true,cached_content_visible,CACHED_BACKEND,,
state,cached_warm_start,29,0.204,true,cached_content_visible,CACHED_BACKEND,,
state,cached_warm_start,30,0.201,true,cached_content_visible,CACHED_BACKEND,,
state,cached_offline_disclosure,1,0.219,true,offline_cache_retained,CACHED_BACKEND,,
state,cached_offline_disclosure,2,0.215,true,offline_cache_retained,CACHED_BACKEND,,
state,cached_offline_disclosure,3,0.260,true,offline_cache_retained,CACHED_BACKEND,,
state,cached_offline_disclosure,4,0.419,true,offline_cache_retained,CACHED_BACKEND,,
state,cached_offline_disclosure,5,0.238,true,offline_cache_retained,CACHED_BACKEND,,
state,cached_offline_disclosure,6,0.218,true,offline_cache_retained,CACHED_BACKEND,,
state,cached_offline_disclosure,7,0.232,true,offline_cache_retained,CACHED_BACKEND,,
state,cached_offline_disclosure,8,0.191,true,offline_cache_retained,CACHED_BACKEND,,
state,cached_offline_disclosure,9,0.203,true,offline_cache_retained,CACHED_BACKEND,,
state,cached_offline_disclosure,10,0.200,true,offline_cache_retained,CACHED_BACKEND,,
state,cached_offline_disclosure,11,0.261,true,offline_cache_retained,CACHED_BACKEND,,
state,cached_offline_disclosure,12,0.207,true,offline_cache_retained,CACHED_BACKEND,,
state,cached_offline_disclosure,13,0.171,true,offline_cache_retained,CACHED_BACKEND,,
state,cached_offline_disclosure,14,0.191,true,offline_cache_retained,CACHED_BACKEND,,
state,cached_offline_disclosure,15,0.165,true,offline_cache_retained,CACHED_BACKEND,,
state,cached_offline_disclosure,16,0.171,true,offline_cache_retained,CACHED_BACKEND,,
state,cached_offline_disclosure,17,0.178,true,offline_cache_retained,CACHED_BACKEND,,
state,cached_offline_disclosure,18,0.166,true,offline_cache_retained,CACHED_BACKEND,,
state,cached_offline_disclosure,19,0.167,true,offline_cache_retained,CACHED_BACKEND,,
state,cached_offline_disclosure,20,0.174,true,offline_cache_retained,CACHED_BACKEND,,
state,cached_offline_disclosure,21,0.164,true,offline_cache_retained,CACHED_BACKEND,,
state,cached_offline_disclosure,22,0.176,true,offline_cache_retained,CACHED_BACKEND,,
