track,scenario,iteration,duration_ms,success,outcome,origin,expected_polls,observed_polls
state,live_seed,1,0.152,true,five_paper_live_content,LIVE_BACKEND,,
state,live_seed,2,0.155,true,five_paper_live_content,LIVE_BACKEND,,
state,live_seed,3,0.132,true,five_paper_live_content,LIVE_BACKEND,,
state,live_seed,4,0.202,true,five_paper_live_content,LIVE_BACKEND,,
state,live_seed,5,2.097,true,five_paper_live_content,LIVE_BACKEND,,
state,live_seed,6,1.417,true,five_paper_live_content,LIVE_BACKEND,,
state,live_seed,7,3.137,true,five_paper_live_content,LIVE_BACKEND,,
state,live_seed,8,0.142,true,five_paper_live_content,LIVE_BACKEND,,
state,live_seed,9,0.124,true,five_paper_live_content,LIVE_BACKEND,,
state,live_seed,10,0.121,true,five_paper_live_content,LIVE_BACKEND,,
state,live_seed,11,0.124,true,five_paper_live_content,LIVE_BACKEND,,
state,live_seed,12,0.122,true,five_paper_live_content,LIVE_BACKEND,,
state,live_seed,13,0.120,true,five_paper_live_content,LIVE_BACKEND,,
state,live_seed,14,0.976,true,five_paper_live_content,LIVE_BACKEND,,
state,live_seed,15,0.199,true,five_paper_live_content,LIVE_BACKEND,,
state,live_seed,16,0.143,true,five_paper_live_content,LIVE_BACKEND,,
state,live_seed,17,0.132,true,five_paper_live_content,LIVE_BACKEND,,
state,live_seed,18,0.124,true,five_paper_live_content,LIVE_BACKEND,,
state,live_seed,19,0.119,true,five_paper_live_content,LIVE_BACKEND,,
state,live_seed,20,0.128,true,five_paper_live_content,LIVE_BACKEND,,
state,live_seed,21,0.138,true,five_paper_live_content,LIVE_BACKEND,,
state,live_seed,22,0.144,true,five_paper_live_content,LIVE_BACKEND,,
state,live_seed,23,0.179,true,five_paper_live_content,LIVE_BACKEND,,
state,live_seed,24,1.564,true,five_paper_live_content,LIVE_BACKEND,,
state,live_seed,25,0.959,true,five_paper_live_content,LIVE_BACKEND,,
state,live_seed,26,0.392,true,five_paper_live_content,LIVE_BACKEND,,
state,live_seed,27,1.907,true,five_paper_live_content,LIVE_BACKEND,,
state,live_seed,28,0.352,true,five_paper_live_content,LIVE_BACKEND,,
state,live_seed,29,0.361,true,five_paper_live_content,LIVE_BACKEND,,
state,live_seed,30,0.146,true,five_paper_live_content,LIVE_BACKEND,,
state,cached_warm_start,1,0.754,true,cached_content_visible,CACHED_BACKEND,,
state,cached_warm_start,2,1.115,true,cached_content_visible,CACHED_BACKEND,,
state,cached_warm_start,3,4.378,true,cached_content_visible,CACHED_BACKEND,,
state,cached_warm_start,4,0.270,true,cached_content_visible,CACHED_BACKEND,,
state,cached_warm_start,5,0.475,true,cached_content_visible,CACHED_BACKEND,,
state,cached_warm_start,6,0.279,true,cached_content_visible,CACHED_BACKEND,,
state,cached_warm_start,7,0.306,true,cached_content_visible,CACHED_BACKEND,,
