track,scenario,iteration,launch_state,total_time_ms,wait_time_ms,success,outcome
startup,cold_process,1,COLD,2428,2445,true,main_activity_wait_time_present
startup,warm_task_resume,1,UNKNOWN (0),,157,true,main_activity_wait_time_present
startup,cold_process,2,COLD,2029,2050,true,main_activity_wait_time_present
startup,warm_task_resume,2,UNKNOWN (0),,146,true,main_activity_wait_time_present
startup,cold_process,3,COLD,1826,1837,true,main_activity_wait_time_present
startup,warm_task_resume,3,UNKNOWN (0),,94,true,main_activity_wait_time_present
startup,cold_process,4,COLD,1869,1874,true,main_activity_wait_time_present
startup,warm_task_resume,4,UNKNOWN (0),,88,true,main_activity_wait_time_present
startup,cold_process,5,COLD,1815,1820,true,main_activity_wait_time_present
startup,warm_task_resume,5,UNKNOWN (0),,150,true,main_activity_wait_time_present
startup,cold_process,6,COLD,1940,1942,true,main_activity_wait_time_present
startup,warm_task_resume,6,UNKNOWN (0),,120,true,main_activity_wait_time_present
startup,cold_process,7,COLD,1725,1757,true,main_activity_wait_time_present
startup,warm_task_resume,7,UNKNOWN (0),,124,true,main_activity_wait_time_present
startup,cold_process,8,COLD,1762,1782,true,main_activity_wait_time_present
startup,warm_task_resume,8,UNKNOWN (0),,128,true,main_activity_wait_time_present
startup,cold_process,9,COLD,1303,1344,true,main_activity_wait_time_present
startup,warm_task_resume,9,UNKNOWN (0),,122,true,main_activity_wait_time_present
startup,cold_process,10,COLD,1321,1336,true,main_activity_wait_time_present
startup,warm_task_resume,10,UNKNOWN (0),,97,true,main_activity_wait_time_present
startup,cold_process,11,COLD,1367,1402,true,main_activity_wait_time_present
startup,warm_task_resume,11,UNKNOWN (0),,86,true,main_activity_wait_time_present
startup,cold_process,12,COLD,1721,1801,true,main_activity_wait_time_present
startup,warm_task_resume,12,UNKNOWN (0),,137,true,main_activity_wait_time_present
startup,cold_process,13,COLD,1934,1962,true,main_activity_wait_time_present
startup,warm_task_resume,13,UNKNOWN (0),,264,true,main_activity_wait_time_present
startup,cold_process,14,COLD,2256,2258,true,main_activity_wait_time_present
startup,warm_task_resume,14,UNKNOWN (0),,199,true,main_activity_wait_time_present
startup,cold_process,15,COLD,2177,2250,true,main_activity_wait_time_present
startup,warm_task_resume,15,UNKNOWN (0),,112,true,main_activity_wait_time_present
startup,cold_process,16,COLD,2033,2070,true,main_activity_wait_time_present
startup,warm_task_resume,16,UNKNOWN (0),,68,true,main_activity_wait_time_present
startup,cold_process,17,COLD,2077,2125,true,main_activity_wait_time_present
startup,warm_task_resume,17,UNKNOWN (0),,182,true,main_activity_wait_time_present
startup,cold_process,18,COLD,1768,1773,true,main_activity_wait_time_present
startup,warm_task_resume,18,UNKNOWN (0),,145,true,main_activity_wait_time_present
startup,cold_process,19,COLD,1617,1621,true,main_activity_wait_time_present
startup,warm_task_resume,19,UNKNOWN (0),,43,true,main_activity_wait_time_present
startup,cold_process,20,COLD,1730,1736,true,main_activity_wait_time_present
startup,warm_task_resume,20,UNKNOWN (0),,44,true,main_activity_wait_time_present
