config_id,cpu_cores,ram_mb,independent_runs,controlled_samples,successful_samples,functional_tests,measurement_tests,cold_start_p50_ms_median,cold_start_p50_ms_q1,cold_start_p50_ms_q3,cold_start_p50_ms_bootstrap95_low,cold_start_p50_ms_bootstrap95_high,warm_resume_p50_ms_median,warm_resume_p50_ms_q1,warm_resume_p50_ms_q3,warm_resume_p50_ms_bootstrap95_low,warm_resume_p50_ms_bootstrap95_high,graph_50_cold_p50_ms_median,graph_50_cold_p50_ms_q1,graph_50_cold_p50_ms_q3,graph_50_cold_p50_ms_bootstrap95_low,graph_50_cold_p50_ms_bootstrap95_high,graph_50_warm_p50_ms_median,graph_50_warm_p50_ms_q1,graph_50_warm_p50_ms_q3,graph_50_warm_p50_ms_bootstrap95_low,graph_50_warm_p50_ms_bootstrap95_high,graph_50_select_p50_ms_median,graph_50_select_p50_ms_q1,graph_50_select_p50_ms_q3,graph_50_select_p50_ms_bootstrap95_low,graph_50_select_p50_ms_bootstrap95_high,graph_50_reuse_ratio_median,graph_50_reuse_ratio_q1,graph_50_reuse_ratio_q3,graph_50_reuse_ratio_bootstrap95_low,graph_50_reuse_ratio_bootstrap95_high
cpu2_ram2gb,2,2048,4,3240,3240,11,16,2252.75,2209.0,2277.625,2114.5,2315.5,152.75,147.625,162.75,146.5,178.5,168.596,167.235,172.146,164.91,181.039,92.541,90.663,95.735,90.519,99.831,34.767,33.909,35.869,33.712,36.803,1.825,1.758,1.891,1.652,1.996
cpu2_ram6gb,2,6144,4,3240,3240,11,16,1842.75,1818.75,1871.375,1789.5,1914.5,121.75,116.0,124.75,102.5,130.0,167.034,164.846,168.706,159.962,172.045,90.977,90.31,91.236,88.842,91.479,33.556,33.172,35.126,32.851,39.008,1.833,1.815,1.856,1.801,1.887
cpu4_ram2gb,4,2048,4,3240,3240,11,16,1328.25,1240.125,1345.125,999.0,1372.5,112.0,106.125,116.75,90.0,129.5,5099.53,4964.111,5099.676,4558.176,5099.794,83.029,82.852,83.305,82.52,83.936,32.883,32.657,33.125,32.427,33.407,61.062,59.375,61.396,55.237,61.471
cpu4_ram6gb,4,6144,4,3240,3240,11,16,1198.75,1121.125,1228.625,964.0,1242.5,118.0,114.75,124.5,114.0,135.0,5099.435,5099.12,5099.52,5098.245,5099.701,83.183,82.858,86.098,82.309,94.413,32.543,32.478,32.579,32.306,32.669,61.296,59.392,61.545,54.015,61.955
