track,scenario,iteration,event_count,duration_ms,success,outcome,accepted,duplicates,final_state,event_ids
event_sync_formal,file_room_reopen_pending,5,3,8.403,true,pending_events_restored,,,pending:3,1d42e501-0b84-4899-8df6-7469a44dea50+844c02e4-b7a1-43e9-a2eb-4b8fbab5e55e+21d17507-db95-4ebf-bf79-34059cd4a78a
event_sync_formal,http_503_pending_recovery,5,3,15.592,true,retry_api_503,,,pending:3,1d42e501-0b84-4899-8df6-7469a44dea50+844c02e4-b7a1-43e9-a2eb-4b8fbab5e55e+21d17507-db95-4ebf-bf79-34059cd4a78a
event_sync_formal,live_backend_upload,5,3,28.683,true,synced_3_3_0,3,0,synced:3,1d42e501-0b84-4899-8df6-7469a44dea50+844c02e4-b7a1-43e9-a2eb-4b8fbab5e55e+21d17507-db95-4ebf-bf79-34059cd4a78a
event_sync_formal,live_backend_duplicate_replay,5,3,19.576,true,synced_3_0_3,0,3,synced:3,1d42e501-0b84-4899-8df6-7469a44dea50+844c02e4-b7a1-43e9-a2eb-4b8fbab5e55e+21d17507-db95-4ebf-bf79-34059cd4a78a
event_sync_formal,file_room_queue_write,6,3,5.458,true,three_events_written,,,pending:3,ad9d4c55-2540-45db-aa68-ae840bbf505f+f271b06c-8432-49f5-88e5-d911f7a1b75b+95914c82-3693-49e0-8254-24dae9f6f006
event_sync_formal,file_room_reopen_pending,6,3,7.991,true,pending_events_restored,,,pending:3,ad9d4c55-2540-45db-aa68-ae840bbf505f+f271b06c-8432-49f5-88e5-d911f7a1b75b+95914c82-3693-49e0-8254-24dae9f6f006
event_sync_formal,http_503_pending_recovery,6,3,13.224,true,retry_api_503,,,pending:3,ad9d4c55-2540-45db-aa68-ae840bbf505f+f271b06c-8432-49f5-88e5-d911f7a1b75b+95914c82-3693-49e0-8254-24dae9f6f006
event_sync_formal,live_backend_upload,6,3,23.860,true,synced_3_3_0,3,0,synced:3,ad9d4c55-2540-45db-aa68-ae840bbf505f+f271b06c-8432-49f5-88e5-d911f7a1b75b+95914c82-3693-49e0-8254-24dae9f6f006
event_sync_formal,live_backend_duplicate_replay,6,3,18.027,true,synced_3_0_3,0,3,synced:3,ad9d4c55-2540-45db-aa68-ae840bbf505f+f271b06c-8432-49f5-88e5-d911f7a1b75b+95914c82-3693-49e0-8254-24dae9f6f006
event_sync_formal,file_room_queue_write,7,3,8.709,true,three_events_written,,,pending:3,a8ace780-6c3e-40b5-9871-bcce2f200c05+68a6f008-e436-42f8-8026-90d4c283c816+3509c54f-3c1b-4c67-9c4b-8296caeacd04
