track,scenario,iteration,event_count,duration_ms,success,outcome,accepted,duplicates,digest_entries,preference_model_version,briefing_origin
event_sync,live_queue_write,1,3,19.061,true,pending,,,,,
event_sync,controlled_failure_before_live_retry,1,3,7.772,true,Retry,,,,,
event_sync,live_retry_upload,1,3,30.919,true,Synced,3,0,,,
event_sync,live_duplicate_replay,1,3,24.210,true,Synced,0,3,,,
event_sync,live_client_readback,1,3,135.906,true,live_briefing_ui_model_returned,,,0,1,LIVE_BACKEND
event_sync,live_queue_write,2,3,13.850,true,pending,,,,,
event_sync,controlled_failure_before_live_retry,2,3,7.778,true,Retry,,,,,
event_sync,live_retry_upload,2,3,33.049,true,Synced,3,0,,,
event_sync,live_duplicate_replay,2,3,92.677,true,Synced,0,3,,,
event_sync,live_client_readback,2,3,24.897,true,live_briefing_ui_model_returned,,,0,1,LIVE_BACKEND
event_sync,live_queue_write,3,3,10.498,true,pending,,,,,
event_sync,controlled_failure_before_live_retry,3,3,8.425,true,Retry,,,,,
event_sync,live_retry_upload,3,3,188.478,true,Synced,3,0,,,
event_sync,live_duplicate_replay,3,3,125.869,true,Synced,0,3,,,
event_sync,live_client_readback,3,3,35.490,true,live_briefing_ui_model_returned,,,0,1,LIVE_BACKEND
event_sync,live_queue_write,4,3,14.710,true,pending,,,,,
event_sync,controlled_failure_before_live_retry,4,3,8.616,true,Retry,,,,,
event_sync,live_retry_upload,4,3,110.933,true,Synced,3,0,,,
event_sync,live_duplicate_replay,4,3,15.790,true,Synced,0,3,,,
event_sync,live_client_readback,4,3,20.094,true,live_briefing_ui_model_returned,,,0,1,LIVE_BACKEND
event_sync,live_queue_write,5,3,11.813,true,pending,,,,,
event_sync,controlled_failure_before_live_retry,5,3,8.028,true,Retry,,,,,
event_sync,live_retry_upload,5,3,27.949,true,Synced,3,0,,,
event_sync,live_duplicate_replay,5,3,18.591,true,Synced,0,3,,,
event_sync,live_client_readback,5,3,26.776,true,live_briefing_ui_model_returned,,,0,1,LIVE_BACKEND
