track,scenario,iteration,event_count,duration_ms,success,outcome,accepted,duplicates,final_state
event_sync,duplicate_replay,22,3,14.122,true,Synced,0,3,synced
event_sync,queue_write,23,3,7.633,true,pending,,,pending
event_sync,retryable_http_failure,23,3,12.160,true,Retry,,,pending
event_sync,retry_success,23,3,55.931,true,Synced,3,0,synced
event_sync,duplicate_replay,23,3,12.957,true,Synced,0,3,synced
event_sync,queue_write,24,3,9.757,true,pending,,,pending
event_sync,retryable_http_failure,24,3,15.263,true,Retry,,,pending
event_sync,retry_success,24,3,51.698,true,Synced,3,0,synced
event_sync,duplicate_replay,24,3,15.062,true,Synced,0,3,synced
event_sync,queue_write,25,3,7.081,true,pending,,,pending
event_sync,retryable_http_failure,25,3,13.398,true,Retry,,,pending
event_sync,retry_success,25,3,91.794,true,Synced,3,0,synced
event_sync,duplicate_replay,25,3,26.642,true,Synced,0,3,synced
event_sync,queue_write,26,3,7.958,true,pending,,,pending
event_sync,retryable_http_failure,26,3,14.609,true,Retry,,,pending
event_sync,retry_success,26,3,84.692,true,Synced,3,0,synced
event_sync,duplicate_replay,26,3,16.492,true,Synced,0,3,synced
event_sync,queue_write,27,3,6.474,true,pending,,,pending
event_sync,retryable_http_failure,27,3,21.751,true,Retry,,,pending
event_sync,retry_success,27,3,52.708,true,Synced,3,0,synced
event_sync,duplicate_replay,27,3,22.974,true,Synced,0,3,synced
event_sync,queue_write,28,3,21.033,true,pending,,,pending
event_sync,retryable_http_failure,28,3,24.007,true,Retry,,,pending
event_sync,retry_success,28,3,59.478,true,Synced,3,0,synced
event_sync,duplicate_replay,28,3,22.162,true,Synced,0,3,synced
event_sync,queue_write,29,3,11.297,true,pending,,,pending
event_sync,retryable_http_failure,29,3,29.815,true,Retry,,,pending
event_sync,retry_success,29,3,70.274,true,Synced,3,0,synced
event_sync,duplicate_replay,29,3,20.855,true,Synced,0,3,synced
event_sync,queue_write,30,3,10.332,true,pending,,,pending
event_sync,retryable_http_failure,30,3,36.899,true,Retry,,,pending
event_sync,retry_success,30,3,57.242,true,Synced,3,0,synced
event_sync,duplicate_replay,30,3,27.069,true,Synced,0,3,synced
