track,scenario,session_id,iteration,raw_iteration,metric,duration_ms,success,outcome,source_file
startup,cached_cold,4e7f91e2-7142-4cfc-8cd0-291c8ad03460,1,2,timeToFullDisplayMs,835.127,true,macrobenchmark_assertions_passed,Mneme_Factorial_API_34_Pixel6(AVD) - 14/com.mneme.app.benchmark-benchmarkData.json
startup,cached_cold,4e7f91e2-7142-4cfc-8cd0-291c8ad03460,2,3,timeToFullDisplayMs,800.911,true,macrobenchmark_assertions_passed,Mneme_Factorial_API_34_Pixel6(AVD) - 14/com.mneme.app.benchmark-benchmarkData.json
startup,cached_cold,4e7f91e2-7142-4cfc-8cd0-291c8ad03460,3,4,timeToFullDisplayMs,855.138,true,macrobenchmark_assertions_passed,Mneme_Factorial_API_34_Pixel6(AVD) - 14/com.mneme.app.benchmark-benchmarkData.json
startup,cached_cold,4e7f91e2-7142-4cfc-8cd0-291c8ad03460,4,5,timeToFullDisplayMs,835.711,true,macrobenchmark_assertions_passed,Mneme_Factorial_API_34_Pixel6(AVD) - 14/com.mneme.app.benchmark-benchmarkData.json
startup,cached_cold,4e7f91e2-7142-4cfc-8cd0-291c8ad03460,5,6,timeToFullDisplayMs,857.087,true,macrobenchmark_assertions_passed,Mneme_Factorial_API_34_Pixel6(AVD) - 14/com.mneme.app.benchmark-benchmarkData.json
startup,foreground_resume,4e7f91e2-7142-4cfc-8cd0-291c8ad03460,1,2,timeToInitialDisplayMs,62.966,true,macrobenchmark_assertions_passed,Mneme_Factorial_API_34_Pixel6(AVD) - 14/com.mneme.app.benchmark-benchmarkData.json
startup,foreground_resume,4e7f91e2-7142-4cfc-8cd0-291c8ad03460,2,3,timeToInitialDisplayMs,81.145,true,macrobenchmark_assertions_passed,Mneme_Factorial_API_34_Pixel6(AVD) - 14/com.mneme.app.benchmark-benchmarkData.json
startup,foreground_resume,4e7f91e2-7142-4cfc-8cd0-291c8ad03460,3,4,timeToInitialDisplayMs,69.026,true,macrobenchmark_assertions_passed,Mneme_Factorial_API_34_Pixel6(AVD) - 14/com.mneme.app.benchmark-benchmarkData.json
startup,foreground_resume,4e7f91e2-7142-4cfc-8cd0-291c8ad03460,4,5,timeToInitialDisplayMs,63.282,true,macrobenchmark_assertions_passed,Mneme_Factorial_API_34_Pixel6(AVD) - 14/com.mneme.app.benchmark-benchmarkData.json
startup,foreground_resume,4e7f91e2-7142-4cfc-8cd0-291c8ad03460,5,6,timeToInitialDisplayMs,72.968,true,macrobenchmark_assertions_passed,Mneme_Factorial_API_34_Pixel6(AVD) - 14/com.mneme.app.benchmark-benchmarkData.json
