track,scenario,node_count,edge_count,algorithm_status,phase,iteration,duration_ms,success,outcome
graph,render_ready,1,0,READY,cold_webview,1,119.815,true,dom_ready
graph,select_node,1,0,READY,cold_webview,1,31.711,true,callback_received
graph,render_ready,1,0,READY,cold_webview,2,146.056,true,dom_ready
graph,select_node,1,0,READY,cold_webview,2,32.001,true,callback_received
graph,render_ready,1,0,READY,cold_webview,3,117.033,true,dom_ready
graph,select_node,1,0,READY,cold_webview,3,32.196,true,callback_received
graph,render_ready,1,0,READY,cold_webview,4,118.743,true,dom_ready
graph,select_node,1,0,READY,cold_webview,4,30.977,true,callback_received
graph,render_ready,1,0,READY,cold_webview,5,118.415,true,dom_ready
graph,select_node,1,0,READY,cold_webview,5,29.837,true,callback_received
graph,render_ready,1,0,READY,cold_webview,6,116.917,true,dom_ready
graph,select_node,1,0,READY,cold_webview,6,31.065,true,callback_received
graph,render_ready,1,0,READY,cold_webview,7,118.729,true,dom_ready
graph,select_node,1,0,READY,cold_webview,7,30.734,true,callback_received
graph,render_ready,1,0,READY,cold_webview,8,149.161,true,dom_ready
graph,select_node,1,0,READY,cold_webview,8,32.661,true,callback_received
graph,render_ready,1,0,READY,cold_webview,9,116.433,true,dom_ready
graph,select_node,1,0,READY,cold_webview,9,32.718,true,callback_received
graph,render_ready,1,0,READY,cold_webview,10,115.948,true,dom_ready
graph,select_node,1,0,READY,cold_webview,10,32.909,true,callback_received
graph,render_ready,1,0,READY,cold_webview,11,115.972,true,dom_ready
graph,select_node,1,0,READY,cold_webview,11,32.846,true,callback_received
graph,render_ready,1,0,READY,cold_webview,12,122.161,true,dom_ready
graph,select_node,1,0,READY,cold_webview,12,26.677,true,callback_received
graph,render_ready,1,0,READY,cold_webview,13,116.832,true,dom_ready
graph,select_node,1,0,READY,cold_webview,13,32.631,true,callback_received
graph,render_ready,1,0,READY,cold_webview,14,116.272,true,dom_ready
graph,select_node,1,0,READY,cold_webview,14,32.539,true,callback_received
graph,render_ready,1,0,READY,cold_webview,15,99.872,true,dom_ready
graph,select_node,1,0,READY,cold_webview,15,35.371,true,callback_received
graph,render_ready,1,0,READY,cold_webview,16,147.133,true,dom_ready
graph,select_node,1,0,READY,cold_webview,16,32.783,true,callback_received
graph,render_ready,1,0,READY,cold_webview,17,116.249,true,dom_ready
graph,select_node,1,0,READY,cold_webview,17,32.654,true,callback_received
graph,render_ready,1,0,READY,cold_webview,18,116.022,true,dom_ready
graph,select_node,1,0,READY,cold_webview,18,32.536,true,callback_received
graph,render_ready,1,0,READY,cold_webview,19,116.168,true,dom_ready
graph,select_node,1,0,READY,cold_webview,19,32.957,true,callback_received
graph,render_ready,1,0,READY,cold_webview,20,116.341,true,dom_ready
graph,select_node,1,0,READY,cold_webview,20,32.604,true,callback_received
graph,render_ready,1,0,READY,warm_update,1,83.652,true,dom_ready
graph,select_node,1,0,READY,warm_update,1,32.593,true,callback_received
graph,render_ready,1,0,READY,warm_update,2,91.157,true,dom_ready
graph,select_node,1,0,READY,warm_update,2,24.544,true,callback_received
graph,render_ready,1,0,READY,warm_update,3,83.267,true,dom_ready
graph,select_node,1,0,READY,warm_update,3,39.535,true,callback_received
graph,render_ready,1,0,READY,warm_update,4,75.958,true,dom_ready
graph,select_node,1,0,READY,warm_update,4,32.412,true,callback_received
graph,render_ready,1,0,READY,warm_update,5,82.875,true,dom_ready
graph,select_node,1,0,READY,warm_update,5,32.514,true,callback_received
graph,render_ready,1,0,READY,warm_update,6,95.336,true,dom_ready
graph,select_node,1,0,READY,warm_update,6,20.307,true,callback_received
graph,render_ready,1,0,READY,warm_update,7,83.674,true,dom_ready
graph,select_node,1,0,READY,warm_update,7,43.175,true,callback_received
graph,render_ready,1,0,READY,warm_update,8,72.028,true,dom_ready
graph,select_node,1,0,READY,warm_update,8,32.834,true,callback_received
graph,render_ready,1,0,READY,warm_update,9,83.253,true,dom_ready
graph,select_node,1,0,READY,warm_update,9,33.138,true,callback_received
graph,render_ready,1,0,READY,warm_update,10,100.258,true,dom_ready
graph,select_node,1,0,READY,warm_update,10,32.620,true,callback_received
graph,render_ready,1,0,READY,warm_update,11,82.651,true,dom_ready
graph,select_node,1,0,READY,warm_update,11,32.774,true,callback_received
graph,render_ready,1,0,READY,warm_update,12,84.925,true,dom_ready
graph,select_node,1,0,READY,warm_update,12,26.558,true,callback_received
graph,render_ready,1,0,READY,warm_update,13,82.757,true,dom_ready
graph,select_node,1,0,READY,warm_update,13,32.280,true,callback_received
graph,render_ready,1,0,READY,warm_update,14,83.292,true,dom_ready
graph,select_node,1,0,READY,warm_update,14,32.652,true,callback_received
graph,render_ready,1,0,READY,warm_update,15,83.034,true,dom_ready
graph,select_node,1,0,READY,warm_update,15,32.584,true,callback_received
graph,render_ready,1,0,READY,warm_update,16,82.994,true,dom_ready
graph,select_node,1,0,READY,warm_update,16,32.555,true,callback_received
graph,render_ready,1,0,READY,warm_update,17,83.134,true,dom_ready
graph,select_node,1,0,READY,warm_update,17,32.442,true,callback_received
graph,render_ready,1,0,READY,warm_update,18,83.263,true,dom_ready
graph,select_node,1,0,READY,warm_update,18,32.464,true,callback_received
graph,render_ready,1,0,READY,warm_update,19,83.544,true,dom_ready
graph,select_node,1,0,READY,warm_update,19,32.221,true,callback_received
graph,render_ready,1,0,READY,warm_update,20,83.863,true,dom_ready
graph,select_node,1,0,READY,warm_update,20,32.117,true,callback_received
graph,render_ready,1,0,READY,warm_update,21,83.381,true,dom_ready
graph,select_node,1,0,READY,warm_update,21,32.525,true,callback_received
graph,render_ready,1,0,READY,warm_update,22,83.335,true,dom_ready
graph,select_node,1,0,READY,warm_update,22,32.432,true,callback_received
graph,render_ready,1,0,READY,warm_update,23,83.369,true,dom_ready
graph,select_node,1,0,READY,warm_update,23,32.420,true,callback_received
graph,render_ready,1,0,READY,warm_update,24,83.194,true,dom_ready
graph,select_node,1,0,READY,warm_update,24,32.805,true,callback_received
graph,render_ready,1,0,READY,warm_update,25,82.692,true,dom_ready
graph,select_node,1,0,READY,warm_update,25,32.710,true,callback_received
graph,render_ready,1,0,READY,warm_update,26,83.771,true,dom_ready
graph,select_node,1,0,READY,warm_update,26,32.463,true,callback_received
graph,render_ready,1,0,READY,warm_update,27,83.149,true,dom_ready
graph,select_node,1,0,READY,warm_update,27,32.513,true,callback_received
graph,render_ready,1,0,READY,warm_update,28,83.175,true,dom_ready
graph,select_node,1,0,READY,warm_update,28,32.719,true,callback_received
graph,render_ready,1,0,READY,warm_update,29,83.011,true,dom_ready
graph,select_node,1,0,READY,warm_update,29,32.615,true,callback_received
graph,render_ready,1,0,READY,warm_update,30,83.297,true,dom_ready
graph,select_node,1,0,READY,warm_update,30,32.592,true,callback_received
graph,render_ready,12,16,READY,cold_webview,1,2721.599,true,dom_ready
graph,select_node,12,16,READY,cold_webview,1,35.216,true,callback_received
graph,render_ready,12,16,READY,cold_webview,2,165.487,true,dom_ready
graph,select_node,12,16,READY,cold_webview,2,28.622,true,callback_received
graph,render_ready,12,16,READY,cold_webview,3,4132.152,true,dom_ready
graph,select_node,12,16,READY,cold_webview,3,33.263,true,callback_received
graph,render_ready,12,16,READY,cold_webview,4,5113.334,true,dom_ready
graph,select_node,12,16,READY,cold_webview,4,32.550,true,callback_received
graph,render_ready,12,16,READY,cold_webview,5,5116.193,true,dom_ready
graph,select_node,12,16,READY,cold_webview,5,33.238,true,callback_received
graph,render_ready,12,16,READY,cold_webview,6,5115.915,true,dom_ready
graph,select_node,12,16,READY,cold_webview,6,32.439,true,callback_received
graph,render_ready,12,16,READY,cold_webview,7,5116.513,true,dom_ready
graph,select_node,12,16,READY,cold_webview,7,32.499,true,callback_received
graph,render_ready,12,16,READY,cold_webview,8,5116.046,true,dom_ready
graph,select_node,12,16,READY,cold_webview,8,32.710,true,callback_received
graph,render_ready,12,16,READY,cold_webview,9,3239.858,true,dom_ready
graph,select_node,12,16,READY,cold_webview,9,32.647,true,callback_received
