track,scenario,state,iteration,duration_ms,success,outcome
graph,status_disclosure,ready,1,1156.167,true,visible
graph,status_disclosure,ready,2,94.954,true,visible
graph,status_disclosure,ready,3,80.411,true,visible
graph,status_disclosure,ready,4,87.701,true,visible
graph,status_disclosure,ready,5,100.527,true,visible
graph,status_disclosure,ready,6,79.544,true,visible
graph,status_disclosure,ready,7,98.250,true,visible
graph,status_disclosure,ready,8,84.914,true,visible
graph,status_disclosure,ready,9,84.416,true,visible
graph,status_disclosure,ready,10,88.700,true,visible
graph,status_disclosure,ready,11,77.112,true,visible
graph,status_disclosure,ready,12,87.185,true,visible
graph,status_disclosure,ready,13,75.100,true,visible
graph,status_disclosure,ready,14,86.140,true,visible
graph,status_disclosure,ready,15,83.762,true,visible
graph,status_disclosure,ready,16,98.137,true,visible
graph,status_disclosure,ready,17,100.061,true,visible
graph,status_disclosure,ready,18,78.318,true,visible
graph,status_disclosure,ready,19,88.524,true,visible
graph,status_disclosure,ready,20,80.645,true,visible
graph,status_disclosure,ready,21,83.355,true,visible
graph,status_disclosure,ready,22,96.683,true,visible
graph,status_disclosure,ready,23,81.556,true,visible
graph,status_disclosure,ready,24,86.802,true,visible
graph,status_disclosure,ready,25,79.876,true,visible
graph,status_disclosure,ready,26,106.103,true,visible
graph,status_disclosure,ready,27,95.808,true,visible
graph,status_disclosure,ready,28,100.971,true,visible
graph,status_disclosure,ready,29,81.765,true,visible
graph,status_disclosure,ready,30,79.619,true,visible
graph,status_disclosure,fallback,1,80.543,true,visible
graph,status_disclosure,fallback,2,86.665,true,visible
graph,status_disclosure,fallback,3,99.837,true,visible
graph,status_disclosure,fallback,4,80.295,true,visible
graph,status_disclosure,fallback,5,81.210,true,visible
graph,status_disclosure,fallback,6,98.484,true,visible
graph,status_disclosure,fallback,7,90.405,true,visible
graph,status_disclosure,fallback,8,79.840,true,visible
graph,status_disclosure,fallback,9,79.104,true,visible
graph,status_disclosure,fallback,10,81.039,true,visible
graph,status_disclosure,fallback,11,86.201,true,visible
graph,status_disclosure,fallback,12,80.122,true,visible
graph,status_disclosure,fallback,13,89.209,true,visible
graph,status_disclosure,fallback,14,77.544,true,visible
graph,status_disclosure,fallback,15,80.706,true,visible
graph,status_disclosure,fallback,16,87.353,true,visible
graph,status_disclosure,fallback,17,82.808,true,visible
graph,status_disclosure,fallback,18,82.412,true,visible
graph,status_disclosure,fallback,19,83.382,true,visible
graph,status_disclosure,fallback,20,83.061,true,visible
graph,status_disclosure,fallback,21,81.059,true,visible
graph,status_disclosure,fallback,22,96.765,true,visible
graph,status_disclosure,fallback,23,87.435,true,visible
graph,status_disclosure,fallback,24,58.004,true,visible
graph,status_disclosure,fallback,25,89.532,true,visible
graph,status_disclosure,fallback,26,79.572,true,visible
graph,status_disclosure,fallback,27,85.398,true,visible
graph,status_disclosure,fallback,28,79.611,true,visible
graph,status_disclosure,fallback,29,85.214,true,visible
graph,status_disclosure,fallback,30,101.143,true,visible
graph,status_disclosure,empty,1,66.557,true,visible
graph,status_disclosure,empty,2,66.318,true,visible
graph,status_disclosure,empty,3,66.232,true,visible
graph,status_disclosure,empty,4,66.305,true,visible
graph,status_disclosure,empty,5,66.257,true,visible
graph,status_disclosure,empty,6,66.341,true,visible
graph,status_disclosure,empty,7,66.196,true,visible
graph,status_disclosure,empty,8,66.381,true,visible
graph,status_disclosure,empty,9,66.243,true,visible
graph,status_disclosure,empty,10,66.333,true,visible
graph,status_disclosure,empty,11,65.999,true,visible
graph,status_disclosure,empty,12,66.345,true,visible
graph,status_disclosure,empty,13,66.345,true,visible
graph,status_disclosure,empty,14,66.227,true,visible
graph,status_disclosure,empty,15,66.259,true,visible
graph,status_disclosure,empty,16,66.347,true,visible
graph,status_disclosure,empty,17,66.155,true,visible
graph,status_disclosure,empty,18,66.359,true,visible
graph,status_disclosure,empty,19,66.323,true,visible
graph,status_disclosure,empty,20,66.198,true,visible
graph,status_disclosure,empty,21,66.304,true,visible
graph,status_disclosure,empty,22,66.400,true,visible
graph,status_disclosure,empty,23,66.239,true,visible
graph,status_disclosure,empty,24,66.165,true,visible
graph,status_disclosure,empty,25,66.554,true,visible
graph,status_disclosure,empty,26,66.123,true,visible
graph,status_disclosure,empty,27,66.194,true,visible
graph,status_disclosure,empty,28,66.354,true,visible
graph,status_disclosure,empty,29,66.335,true,visible
graph,status_disclosure,empty,30,66.263,true,visible
