track,scenario,iteration,duration_ms,success,outcome,origin,expected_polls,observed_polls
state,live_seed,1,0.131,true,five_paper_live_content,LIVE_BACKEND,,
state,live_seed,2,0.137,true,five_paper_live_content,LIVE_BACKEND,,
state,live_seed,3,0.146,true,five_paper_live_content,LIVE_BACKEND,,
state,live_seed,4,0.161,true,five_paper_live_content,LIVE_BACKEND,,
state,live_seed,5,0.143,true,five_paper_live_content,LIVE_BACKEND,,
state,live_seed,6,0.142,true,five_paper_live_content,LIVE_BACKEND,,
state,live_seed,7,0.159,true,five_paper_live_content,LIVE_BACKEND,,
state,live_seed,8,0.136,true,five_paper_live_content,LIVE_BACKEND,,
state,live_seed,9,0.142,true,five_paper_live_content,LIVE_BACKEND,,
state,live_seed,10,0.119,true,five_paper_live_content,LIVE_BACKEND,,
state,live_seed,11,0.114,true,five_paper_live_content,LIVE_BACKEND,,
state,live_seed,12,0.119,true,five_paper_live_content,LIVE_BACKEND,,
state,live_seed,13,0.114,true,five_paper_live_content,LIVE_BACKEND,,
state,live_seed,14,0.141,true,five_paper_live_content,LIVE_BACKEND,,
state,live_seed,15,0.136,true,five_paper_live_content,LIVE_BACKEND,,
state,live_seed,16,0.194,true,five_paper_live_content,LIVE_BACKEND,,
state,live_seed,17,0.118,true,five_paper_live_content,LIVE_BACKEND,,
state,live_seed,18,0.122,true,five_paper_live_content,LIVE_BACKEND,,
state,live_seed,19,0.123,true,five_paper_live_content,LIVE_BACKEND,,
state,live_seed,20,0.125,true,five_paper_live_content,LIVE_BACKEND,,
state,live_seed,21,0.117,true,five_paper_live_content,LIVE_BACKEND,,
state,live_seed,22,0.118,true,five_paper_live_content,LIVE_BACKEND,,
state,live_seed,23,0.115,true,five_paper_live_content,LIVE_BACKEND,,
state,live_seed,24,0.132,true,five_paper_live_content,LIVE_BACKEND,,
state,live_seed,25,0.138,true,five_paper_live_content,LIVE_BACKEND,,
state,live_seed,26,0.121,true,five_paper_live_content,LIVE_BACKEND,,
state,live_seed,27,0.121,true,five_paper_live_content,LIVE_BACKEND,,
state,live_seed,28,0.117,true,five_paper_live_content,LIVE_BACKEND,,
state,live_seed,29,0.122,true,five_paper_live_content,LIVE_BACKEND,,
state,live_seed,30,0.115,true,five_paper_live_content,LIVE_BACKEND,,
state,cached_warm_start,1,0.150,true,cached_content_visible,CACHED_BACKEND,,
state,cached_warm_start,2,0.705,true,cached_content_visible,CACHED_BACKEND,,
state,cached_warm_start,3,0.306,true,cached_content_visible,CACHED_BACKEND,,
state,cached_warm_start,4,0.174,true,cached_content_visible,CACHED_BACKEND,,
state,cached_warm_start,5,0.164,true,cached_content_visible,CACHED_BACKEND,,
state,cached_warm_start,6,0.176,true,cached_content_visible,CACHED_BACKEND,,
state,cached_warm_start,7,0.167,true,cached_content_visible,CACHED_BACKEND,,
state,cached_warm_start,8,0.171,true,cached_content_visible,CACHED_BACKEND,,
state,cached_warm_start,9,0.152,true,cached_content_visible,CACHED_BACKEND,,
state,cached_warm_start,10,0.147,true,cached_content_visible,CACHED_BACKEND,,
state,cached_warm_start,11,0.155,true,cached_content_visible,CACHED_BACKEND,,
state,cached_warm_start,12,0.151,true,cached_content_visible,CACHED_BACKEND,,
state,cached_warm_start,13,0.158,true,cached_content_visible,CACHED_BACKEND,,
state,cached_warm_start,14,0.171,true,cached_content_visible,CACHED_BACKEND,,
state,cached_warm_start,15,0.181,true,cached_content_visible,CACHED_BACKEND,,
state,cached_warm_start,16,0.176,true,cached_content_visible,CACHED_BACKEND,,
state,cached_warm_start,17,0.171,true,cached_content_visible,CACHED_BACKEND,,
state,cached_warm_start,18,0.178,true,cached_content_visible,CACHED_BACKEND,,
